This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Sun Aug 03 09:14:16 2025
Filter Values: disposition notContains F AND notContains EB; stellar_distance lessThan 300; stellar_teff lessThan 4200; stellar_radius lessThan 0.65; tfopwg_disposition notContains F AND notContains A

"TIC ID","TOI","CTOI","Master priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Predicted RV Semi-amplitude (m/s)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","View all TFOPWG Disposition","TESS mag","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM Dec (mas/yr)","Transit Epoch (BJD)","Period (days)","Duration (hours)","Depth (mmag)","Depth (ppm)","Planet Radius (R_Earth)","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Teff (K)","Stellar log(g) (cm/s2)","Stellar Radius (R_Sun)","Stellar Metallicity","Stellar Mass (M_Sun)","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"351601843","1075.01","","1","5","1","4","4","4","13.2","81.6","4.14","4.5","8","1","3","CP","CP","1075.01","11.1186","1","spoc-s01-s69-b0A-CP","SPOC","309.971209","-65.449699","-99.737","-59.95","2458654.249503","0.60473924067999","1.0403847063523","1.116367","1027.6833478588","1.8625587268573","528.0253154529","1222.5973095314","16.558659","61.4592","4046","4.60963","0.58033698797226","","0.571742","13,27,67","TOI-1075 b","2019-08-16","2024-09-09","2025-07-31"
"370133522","1078.01","","1","5","1","4","4","4","21.8","26.8","2.39","3.6","18","1","13","CP","CP","1078.01","10.1165","1","spoc-s01-s69-b0A-CP","SPOC/QLP","306.928646","-56.462287","424.414","-1230.62","2458654.10332","0.51824246093613","0.85652489983912","0.903591","831.89204236248","1.3485120558984","255.14058152346","1019.3295978622","21.303896","20.373","3325","4.88693","0.39098900556564","","0.381272","13,27,67","GJ 1252 b","2019-08-16","2024-09-09","2025-07-31"
"29960110","1201.01","","2","5","2","4","4","4","9.8","95.8","5.57","4.3","3","6","13","CP","CP","1201.01","10.9473","1","spoc-s01-s36-b0A-PC","SPOC/QLP","42.2477","-14.537283","164.059","46.626","2458411.670877","2.4919770849519","1.4338140901689","2.275871","2093.9594201468","2.2187585070458","39.645266374445","639.98174261374","17.341845","37.8871","3948","4.68962","0.48238798975945","","0.480382","4,31","TOI-1201 b","2019-01-31","2024-05-16","2025-07-31"
"231702397","122.01","","2","5","2","4","3","4","3.2","66.8","7.46","5.9","11","1","5","CP","CP","122.01","13.084","1","spoc-s01-s69-b0A-CP","SPOC","332.948236","-58.946085","138.138","-235.81","2458329.118988","5.07803253492","1.2100353070191","6.450076","5923.1283068509","2.634776336268","8.1743138648138","431.25364398362","15.281929","62.118","3318","4.9581","0.33412501215935","","0.315858","1,27,28,67,68","TOI-122 b","2018-09-05","2024-09-09","2025-07-31"
"299798795","1224.01","","1","5","1","4","4","4","4.7","78.2","5.08","3.7","15","4","1","PC","CP","1224.01","11.556","1","spoc-s01-s69-b0A-PC","SPOC","37.197836","-80.899105","159.883","27.053","2458327.705053","4.178265603153","1.6759040161146","2.758751","2537.678160185","2.1023853785064","13.929528843708","492.72415832763","18.81182","37.3312","3442","4.893","0.40440300107002","","0.396442","1,13,27,28,39,66,67,68","variable flaring star; potential multi","2019-08-26","2024-04-24","2025-07-31"
"299798795","1224.02","","1","4","1","4","4","4","1.6","90.7","11.41","5.1","15","4","1","PC","CP","1224.02","11.556","2","spoc-s01-s69-b0A-PC","SPOC","37.197836","-80.899105","159.883","27.053","2458329.862603","17.945364492018","3.0740071959141","5.966944","5480.6848639995","3.3839124178361","1.995238303011","303.12268761985","16.267979","37.3312","3442","4.893","0.40440300107002","","0.396442","1,13,27,28,39,66,67,68","potential multi; variable flaring host; possibly v-shaped","2024-03-14","2024-03-14","2025-07-31"
"360156606","1227.01","","3","4","3","4","4","4","0.6","52.3","34.17","12.5","13","0","4","CP","CP","1227.01","13.802","1","spoc-s01-s65-b0A-CP","SPOC","186.767363","-72.45185","-40.266","-10.642","2458617.479256","27.361377836843","4.058641821632","22.700268","20690.668429399","6.4522448554385","0.83455554763411","243.77185473897","13.578523","100.641","3050","4.438","0.44128000736237","","0.437175","11,12,38,64,65","TOI-1227 b","2019-08-26","2024-02-14","2025-07-31"
"447061717","1231.01","","2","5","2","4","4","4","2.5","134.5","14.39","5.3","8","2","5","CP","CP","1231.01","10.2565","1","spoc-s01-s65-b0A-CP","QLP","156.74726","-52.467872","-89.046","361.603","2458563.890468","24.245496692","3.3725582963594","6.818804","6260.670360233","3.8785680034106","0.05273003483386","122.2177443508","60.598125","27.6227","3535","4.84874","0.46527099609375","","0.462709","9,10,36,37,63","TOI-1231 b","2019-08-26","2024-09-17","2025-07-31"
"103633434","1235.01","","1","4","1","4","4","4","7.2","77","4.68","2.8","5","6","10","CP","CP","1235.01","9.91924","1","qlp-s74-ffi","SPOC","152.218255","69.27662","196.631","17.369","2460333.631473","3.4447015","1.912","0.86459","796","2.00495","231.437","1086","24","39.6345","3912","4.62642","0.63","","0.611578","14,20,21,40,41,47,60,74","TOI-1235 b","2019-10-17","2024-04-01","2025-07-31"
"153951307","1238.01","","2","5","2","4","4","4","5.8","53.7","6.24","3.7","4","2","8","CP","CP","1238.01","11.2582","1","spoc-s14-s78-b0A-PC","SPOC/QLP","201.382339","68.836068","-4.963","-45.922","2458684.28731","3.2947689197439","1.7483102815862","1.438511","1324.0402774187","2.5248558971804","56.937763200979","700.59954356184","24.897747","70.7145","3853","4.63168","0.62326002120972","","0.606665","14,15,21,22,41,49,74,76","TOI-1238 c (GonzÃ¡lez-Ãlvarez + 2022)","2019-10-17","2025-07-31","2025-08-01"
